Train At Epoch 1 {'sup_loss': 2.195281688244112, 'loss': 2.221263624006702, 'top1': 0.18397177419354838, 'top5': 0.6698588709677419, 'lr': 0.003491666666666667}
Train At Epoch 1 {'sup_loss': 2.2158760966793185, 'loss': 2.244784870455342, 'top1': 0.17565524193548387, 'top5': 0.6610383064516129, 'lr': 0.003491666666666667}
Train At Epoch 1 {'sup_loss': 2.20462836950056, 'loss': 2.2327358549641025, 'top1': 0.18296370967741934, 'top5': 0.6670866935483871, 'lr': 0.003491666666666667}
Train At Epoch 1 {'sup_loss': 2.224324949326054, 'loss': 2.2491968947072185, 'top1': 0.17263104838709678, 'top5': 0.6464213709677419, 'lr': 0.003491666666666667}
Train At Epoch 1 {'sup_loss': 2.1821070371135587, 'loss': 2.2067036359540877, 'top1': 0.17893145161290322, 'top5': 0.6643145161290323, 'lr': 0.003491666666666667}
Train At Epoch 1 {'sup_loss': 2.21142315864563, 'loss': 2.2390108262338946, 'top1': 0.17313508064516128, 'top5': 0.6683467741935484, 'lr': 0.003491666666666667}
Train At Epoch 1 {'sup_loss': 2.209619470181004, 'loss': 2.235728111959273, 'top1': 0.17338709677419356, 'top5': 0.6688508064516129, 'lr': 0.003491666666666667}
Train At Epoch 1 {'sup_loss': 2.2279546433879482, 'loss': 2.2540957427793935, 'top1': 0.16859879032258066, 'top5': 0.6461693548387096, 'lr': 0.003491666666666667}
Train At Epoch 1 {'sup_loss': 2.2207404048212114, 'loss': 2.2459606682100604, 'top1': 0.17036290322580644, 'top5': 0.6643145161290323, 'lr': 0.003491666666666667}
Train At Epoch 1 {'sup_loss': 2.167554513100655, 'loss': 2.1939732740002293, 'top1': 0.18800403225806453, 'top5': 0.6769153225806451, 'lr': 0.003491666666666667}
Train At Epoch 1 {'sup_loss': 2.211729413078677, 'loss': 2.23716361676493, 'top1': 0.17540322580645162, 'top5': 0.6590221774193549, 'lr': 0.003491666666666667}
Train At Epoch 1 {'sup_loss': 2.248218305649296, 'loss': 2.273874525100954, 'top1': 0.16532258064516128, 'top5': 0.6257560483870968, 'lr': 0.003491666666666667} (time: 60.0s)
Train At Epoch 1 {'sup_loss': 2.205677863090269, 'loss': 2.2314453259591134, 'top1': 0.16859879032258066, 'top5': 0.6713709677419355, 'lr': 0.003491666666666667} (time: 59.7s)
